,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,17.698769290877124,17.698769290877124,17.698769290877124,17.698769290877124,17.698769290877124,17.698769290877127,3.5704330589399865e-15
debt_to_equity,0.018167610861496385,0.018167610861496385,0.018167610861496385,0.018167610861496385,0.018167610861496385,0.01816761086149638,6.973502068242161e-18
revenue_cagr_5yr,5.838805854237616,8.483226324685255,11.63380022632805,17.25086850260209,21.939164804975263,13.336656280443364,8.468359253592778
fcf_cagr_5yr,1.7461396370282767,5.863057152249307,14.796205839600551,14.796205839600551,22.161545721058307,12.313542051168465,13.5266124113618
operating_profit_margin_pct,9.620257813360755,15.315702276492607,25.502802505769868,37.423475963397344,79.1987028610283,32.9506584424511,26.400968741433164
